Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815
0.415,0.794583589,0.951374505
0.416,0.798717661,0.952026314
0.417,0.804580041,0.952593637
0.418,0.805216166,0.953370642
0.419,0.805927007,0.954321166
0.42,0.806527426,0.955107557
0.421,0.807041484,0.95591367
0.422,0.807496538,0.957186302
0.423,0.808036392,0.9583866
0.424,0.808519871,0.959566352
0.425,0.80881246,0.960107811
0.426,0.808930597,0.960945657
0.427,0.809251122,0.961544324
0.428,0.809601833,0.962123016
0.429,0.809966033,0.962880407
0.43,0.810155816,0.963596147
0.431,0.81061272,0.965385345
0.432,0.810746282,0.967338317
0.433,0.81105667,0.968194545
0.434,0.811137967,0.968914359
0.435,0.811578429,0.969695093
0.436,0.812197403,0.970565717
0.437,0.812585722,0.971301356
0.438,0.812950249,0.97215906
0.439,0.813209734,0.973132602
0.44,0.81331578,0.973843286
0.441,0.813576333,0.974557515
0.442,0.813839513,0.975335548
0.443,0.813979196,0.976202633
0.444,0.814339695,0.976845642
0.445,0.814674538,0.980052223
0.446,0.814976315,0.980750523
0.447,0.815302209,0.982255754
0.448,0.815762444,0.982958089
0.449,0.815995431,0.983560136
0.45,0.816025689,0.984298276
0.451,0.818532171,0.984972471
0.452,0.818461936,0.986903322
0.453,0.818427597,0.98758613
0.454,0.818409941,0.988446752
0.455,0.818444837,0.989160418
0.456,0.818574212,0.989921387
0.457,0.8186303,0.990896901
0.458,0.818768799,0.992329047
0.459,0.818787304,0.993046995
0.46,0.818745519,0.993715214
0.461,0.818856862,0.994532141
0.462,0.818933683,0.995626829
0.463,0.81905061,0.996180612
0.464,0.819019617,0.997099797
0.465,0.818997979,0.997658255
0.466,0.819099874,0.998677647
0.467,0.819165475,0.999789602
0.468,0.819219877,1.00145592
0.469,0.819318828,1.002140021
0.47,0.819411861,1.002711738
0.471,0.819356723,1.004934932
0.472,0.819359064,1.005478452
0.473,0.819498225,1.006058725
0.474,0.819590832,1.007257641
0.475,0.819603634,1.007966224
0.476,0.819565979,1.009944016
0.477,0.81941459,1.010879975
0.478,0.819333236,1.011443942
0.479,0.819107077,1.012223274
0.48,0.819152366,1.012853527
0.481,0.819369055,1.013366963
0.482,0.819486194,1.016596932
0.483,0.819324543,1.01706767
0.484,0.819432355,1.01754439
0.485,0.819542533,1.018181921
0.486,0.819887157,1.01900179
0.487,0.820061185,1.020979263
0.488,0.82016094,1.021383047
0.489,0.820216463,1.023420221
0.49,0.820218512,1.023707553
0.491,0.820218762,1.023956197
0.492,0.820499677,1.024392271
0.493,0.820522731,1.024936862
0.494,0.82051809,1.02555203
0.495,0.820468459,1.027927195
0.496,0.820101021,1.02855186
0.497,0.819719222,1.029167686
0.498,0.819454925,1.033068601
0.499,0.819071071,1.033640607
0.5,0.818631419,1.034884232
0.501,0.818347682,1.035670812
0.502,0.818184206,1.036526589
0.503,0.817875559,1.037319339
0.504,0.817602192,1.038108526
0.505,0.817348862,1.038954733
0.506,0.817018484,1.039740132
0.507,0.816959876,1.040620754
0.508,0.816733423,1.041357937
0.509,0.816740195,1.042032653
0.51,0.816669319,1.042728082
0.511,0.816501944,1.043629804
0.512,0.816649072,1.044524609
0.513,0.816520394,1.045381006
0.514,0.816510751,1.046305587
0.515,0.816309445,1.047095463
0.516,0.816114382,1.047826291
