Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-Ala237Arg/Ampicillin - PersScore 0.145 PoseScore 1.920
0.354,0.765130511,0.845505588
0.355,0.765296809,0.845732575
0.356,0.765645583,0.8456531
0.357,0.766055295,0.845904837
0.358,0.766246358,0.84630094
0.359,0.766576489,0.846529329
0.36,0.766919434,0.847006803
0.361,0.767198149,0.847288474
0.362,0.76744146,0.847270733
0.363,0.767813465,0.847442198
0.364,0.768147182,0.847589154
0.365,0.768486754,0.847461751
0.366,0.768651862,0.847432639
0.367,0.769027261,0.847273784
0.368,0.769422843,0.847241147
0.369,0.769815698,0.847394669
0.37,0.770566327,0.847429827
0.371,0.770984669,0.847311567
0.372,0.771697186,0.84704734
0.373,0.772147563,0.846917476
0.374,0.772828719,0.846913073
0.375,0.773951881,0.847244284
0.376,0.774589791,0.847312011
0.377,0.7751003,0.847212503
0.378,0.775613545,0.846856566
0.379,0.77596471,0.846853571
0.38,0.776366437,0.846822333
0.381,0.776843926,0.846762279
0.382,0.777224339,0.847046837
0.383,0.777690589,0.847130137
0.384,0.778123673,0.848073824
0.385,0.778643082,0.848199566
0.386,0.779283276,0.848144389
0.387,0.77990497,0.848019543
0.388,0.780395872,0.848094215
0.389,0.780946547,0.848311059
0.39,0.781360014,0.848568238
0.391,0.781702754,0.848729676
0.392,0.782065595,0.848917961
0.393,0.782632704,0.849394599
0.394,0.783173756,0.849884231
0.395,0.783597889,0.85000727
0.396,0.784134823,0.850129706
0.397,0.784550058,0.850175081
0.398,0.785081536,0.85026085
0.399,0.785572644,0.85046899
0.4,0.786132649,0.850484108
0.401,0.787991111,0.850559403
0.402,0.788375811,0.850712232
0.403,0.788774006,0.853023447
0.404,0.789112035,0.85562683
0.405,0.789707457,0.858097999
0.406,0.789978702,0.85832693
0.407,0.790530788,0.858636487
0.408,0.791084585,0.858742024
0.409,0.791685909,0.859150331
0.41,0.792040079,0.859406498
0.411,0.792684065,0.859550239
0.412,0.793190517,0.859595674
0.413,0.793738569,0.859713277
0.414,0.794144438,0.860113851
0.415,0.794583589,0.860120932
0.416,0.798717661,0.860193393
0.417,0.804580041,0.860495695
0.418,0.805216166,0.860412804
0.419,0.805927007,0.860498915
0.42,0.806527426,0.860512522
0.421,0.807041484,0.860269567
0.422,0.807496538,0.860170407
0.423,0.808036392,0.860268535
0.424,0.808519871,0.860838724
0.425,0.80881246,0.860811771
0.426,0.808930597,0.86070884
0.427,0.809251122,0.861027155
0.428,0.809601833,0.861312442
0.429,0.809966033,0.861681042
0.43,0.810155816,0.862012106
0.431,0.81061272,0.862393696
0.432,0.810746282,0.862729152
0.433,0.81105667,0.862854622
0.434,0.811137967,0.86304673
0.435,0.811578429,0.863150098
0.436,0.812197403,0.863444176
0.437,0.812585722,0.863779047
0.438,0.812950249,0.864282507
0.439,0.813209734,0.866715795
0.44,0.81331578,0.866982438
0.441,0.813576333,0.867381844
0.442,0.813839513,0.867834316
0.443,0.813979196,0.868262815
0.444,0.814339695,0.868742137
0.445,0.814674538,0.868970113
0.446,0.814976315,0.869445503
0.447,0.815302209,0.869786869
0.448,0.815762444,0.870355458
0.449,0.815995431,0.870756906
0.45,0.816025689,0.871227236
0.451,0.818532171,0.871649699
0.452,0.818461936,0.872322039
0.453,0.818427597,0.872788214
0.454,0.818409941,0.873217889
0.455,0.818444837,0.873687733
0.456,0.818574212,0.874195839
0.457,0.8186303,0.874395214
0.458,0.818768799,0.875895062
0.459,0.818787304,0.876108315
0.46,0.818745519,0.87650394
0.461,0.818856862,0.877133421
0.462,0.818933683,0.877526442
0.463,0.81905061,0.87802371
0.464,0.819019617,0.878658091
0.465,0.818997979,0.879007519
0.466,0.819099874,0.880018219
0.467,0.819165475,0.884491093
0.468,0.819219877,0.884972453
0.469,0.819318828,0.885427196
0.47,0.819411861,0.885730579
0.471,0.819356723,0.889320824
0.472,0.819359064,0.892736241
0.473,0.819498225,0.893151412
0.474,0.819590832,0.893909078
0.475,0.819603634,0.894393281
0.476,0.819565979,0.895155649
0.477,0.81941459,0.895728179
0.478,0.819333236,0.896243328
0.479,0.819107077,0.896826516
0.48,0.819152366,0.898059596
0.481,0.819369055,0.898482585
0.482,0.819486194,0.899177424
0.483,0.819324543,0.900132495
0.484,0.819432355,0.900549509
0.485,0.819542533,0.900949869
0.486,0.819887157,0.901493271
0.487,0.820061185,0.903140446
0.488,0.82016094,0.903674841
0.489,0.820216463,0.904751395
0.49,0.820218512,0.905304802
0.491,0.820218762,0.90589647
0.492,0.820499677,0.906330434
0.493,0.820522731,0.906859613
0.494,0.82051809,0.907136448
0.495,0.820468459,0.907495287
0.496,0.820101021,0.908013914
0.497,0.819719222,0.908344552
0.498,0.819454925,0.908870572
0.499,0.819071071,0.909217259
0.5,0.818631419,0.909492662
0.501,0.818347682,0.909908737
